Time,Position,Force,Desired_Force,Velocity
3.440000,-0.878785,0.000000,8.000000,-0.310031
3.450000,-0.881884,0.000000,8.000000,-0.309742
3.460000,-0.884980,0.000000,8.000000,-0.309452
3.470000,-0.888073,0.000000,8.000000,-0.309162
3.480000,-0.891163,0.000000,8.000000,-0.308871
3.490000,-0.894250,0.000000,8.000000,-0.308578
3.500000,-0.897334,0.000000,8.000000,-0.308285
3.510000,-0.900415,0.000000,8.000000,-0.307991
3.520000,-0.903494,0.000000,8.000000,-0.307695
3.530000,-0.906569,0.000000,8.000000,-0.307399
3.540000,-0.909641,0.000000,8.000000,-0.307101
3.550000,-0.912711,0.000000,8.000000,-0.306803
3.560000,-0.915777,0.000000,8.000000,-0.306504
3.570000,-0.918841,0.000000,8.000000,-0.306203
3.580000,-0.921901,0.000000,8.000000,-0.305902
3.590000,-0.924958,0.000000,8.000000,-0.305600
3.600000,-0.928013,0.000000,8.000000,-0.305298
3.610000,-0.931064,0.000000,8.000000,-0.304995
3.620000,-0.934112,0.000000,8.000000,-0.304691
3.630000,-0.937157,0.000000,8.000000,-0.304387
3.640000,-0.940200,0.000000,8.000000,-0.304082
3.650000,-0.943239,0.000000,8.000000,-0.303777
3.660000,-0.946275,0.000000,8.000000,-0.303472
3.670000,-0.949308,0.000000,8.000000,-0.303166
3.680000,-0.952338,0.000000,8.000000,-0.302861
3.690000,-0.955365,0.000000,8.000000,-0.302555
3.700000,-0.958389,0.000000,8.000000,-0.302250
3.710000,-0.961410,0.000000,8.000000,-0.301944
3.720000,-0.964427,0.000000,8.000000,-0.301639
3.730000,-0.967442,0.000000,8.000000,-0.301333
3.740000,-0.970454,0.000000,8.000000,-0.301028
3.750000,-0.973462,0.000000,8.000000,-0.300723
3.760000,-0.976468,0.000000,8.000000,-0.300419
3.770000,-0.979470,0.000000,8.000000,-0.300115
3.780000,-0.982470,0.000000,8.000000,-0.299811
3.790000,-0.985466,0.000000,8.000000,-0.299507
3.800000,-0.988460,0.000000,8.000000,-0.299204
3.810000,-0.991450,0.000000,8.000000,-0.298902
3.820000,-0.994437,0.000000,8.000000,-0.298600
3.830000,-0.997422,0.000000,8.000000,-0.298298
3.840000,-1.000403,0.000000,8.000000,-0.297997
3.850000,-1.003381,0.000000,8.000000,-0.297697
3.860000,-1.006357,0.000000,8.000000,-0.297397
3.870000,-1.009329,0.000000,8.000000,-0.297097
3.880000,-1.012298,0.000000,8.000000,-0.296798
3.890000,-1.015265,0.000000,8.000000,-0.296500
3.900000,-1.018228,0.000000,8.000000,-0.296202
3.910000,-1.021188,0.000000,8.000000,-0.295904
3.920000,-1.024146,0.000000,8.000000,-0.295607
3.930000,-1.027100,0.000000,8.000000,-0.295311
3.940000,-1.030052,0.000000,8.000000,-0.295014
3.950000,-1.033000,0.000000,8.000000,-0.294719
3.960000,-1.035946,0.000000,8.000000,-0.294424
3.970000,-1.038888,0.000000,8.000000,-0.294129
3.980000,-1.041828,0.000000,8.000000,-0.293835
3.990000,-1.044765,0.000000,8.000000,-0.293541
4.000000,-1.047696,0.000000,5.000000,-0.290233
4.010000,-1.050434,0.000000,5.000000,-0.260663
4.020000,-1.052886,0.000000,5.000000,-0.232770
4.030000,-1.055068,0.000000,5.000000,-0.206659
4.040000,-1.057000,0.000000,5.000000,-0.182407
4.050000,-1.058700,0.000000,5.000000,-0.160067
4.060000,-1.060186,0.000000,5.000000,-0.139668
4.070000,-1.061480,0.000000,5.000000,-0.121218
4.080000,-1.062600,0.000000,5.000000,-0.104706
4.090000,-1.063565,0.000000,5.000000,-0.090103
4.100000,-1.064395,0.000000,5.000000,-0.077365
4.110000,-1.065107,0.000000,5.000000,-0.066433
4.120000,-1.065719,0.000000,5.000000,-0.057238
4.130000,-1.066249,0.000000,5.000000,-0.049701
4.140000,-1.066711,0.000000,5.000000,-0.043733
4.150000,-1.067123,0.000000,5.000000,-0.039240
4.160000,-1.067497,0.000000,5.000000,-0.036123
4.170000,-1.067847,0.000000,5.000000,-0.034279
4.180000,-1.068185,0.000000,5.000000,-0.033602
4.190000,-1.068523,0.000000,5.000000,-0.033987
4.200000,-1.068869,0.000000,5.000000,-0.035325
4.210000,-1.069234,0.000000,5.000000,-0.037512
4.220000,-1.069624,0.000000,5.000000,-0.040446
4.230000,-1.070048,0.000000,5.000000,-0.044024
4.240000,-1.070511,0.000000,5.000000,-0.048150
4.250000,-1.071017,0.000000,5.000000,-0.052731
4.260000,-1.071571,0.000000,5.000000,-0.057677
4.270000,-1.072176,0.000000,5.000000,-0.062907
4.280000,-1.072835,0.000000,5.000000,-0.068341
4.290000,-1.073549,0.000000,5.000000,-0.073906
4.300000,-1.074319,0.000000,5.000000,-0.079536
4.310000,-1.075146,0.000000,5.000000,-0.085169
4.320000,-1.076028,0.000000,5.000000,-0.090750
4.330000,-1.076966,0.000000,5.000000,-0.096229
4.340000,-1.077958,0.000000,5.000000,-0.101563
4.350000,-1.079002,0.000000,5.000000,-0.106712
4.360000,-1.080096,0.000000,5.000000,-0.111644
4.370000,-1.081239,0.000000,5.000000,-0.116332
4.380000,-1.082426,0.000000,5.000000,-0.120753
4.390000,-1.083657,0.000000,5.000000,-0.124888
4.400000,-1.084927,0.000000,5.000000,-0.128724
4.410000,-1.086234,0.000000,5.000000,-0.132253
4.420000,-1.087575,0.000000,5.000000,-0.135467
4.430000,-1.088945,0.000000,5.000000,-0.138366
4.440000,-1.090344,0.000000,5.000000,-0.140951
4.450000,-1.091766,0.000000,5.000000,-0.143225
4.460000,-1.093209,0.000000,5.000000,-0.145195
4.470000,-1.094671,0.000000,5.000000,-0.146870
4.480000,-1.096147,0.000000,5.000000,-0.148262
4.490000,-1.097636,0.000000,5.000000,-0.149382
4.500000,-1.099135,0.000000,5.000000,-0.150245
4.510000,-1.100641,0.000000,5.000000,-0.150866
4.520000,-1.102152,0.000000,5.000000,-0.151260
4.530000,-1.103666,0.000000,5.000000,-0.151445
4.540000,-1.105180,0.000000,5.000000,-0.151437
4.550000,-1.106694,0.000000,5.000000,-0.151253
4.560000,-1.108205,0.000000,5.000000,-0.150912
4.570000,-1.109711,0.000000,5.000000,-0.150429
4.580000,-1.111212,0.000000,5.000000,-0.149822
4.590000,-1.112707,0.000000,5.000000,-0.149107
4.600000,-1.114193,0.000000,5.000000,-0.148300
4.610000,-1.115671,0.000000,5.000000,-0.147417
4.620000,-1.117140,0.000000,5.000000,-0.146471
4.630000,-1.118600,0.000000,5.000000,-0.145477
4.640000,-1.120049,0.000000,5.000000,-0.144447
4.650000,-1.121488,0.000000,5.000000,-0.143393
4.660000,-1.122916,0.000000,5.000000,-0.142327
4.670000,-1.124333,0.000000,5.000000,-0.141259
4.680000,-1.125740,0.000000,5.000000,-0.140197
4.690000,-1.127136,0.000000,5.000000,-0.139150
4.700000,-1.128522,0.000000,5.000000,-0.138126
4.710000,-1.129898,0.000000,5.000000,-0.137130
4.720000,-1.131264,0.000000,5.000000,-0.136169
4.730000,-1.132620,0.000000,5.000000,-0.135246
4.740000,-1.133968,0.000000,5.000000,-0.134367
4.750000,-1.135307,0.000000,5.000000,-0.133533
4.760000,-1.136638,0.000000,5.000000,-0.132747
4.770000,-1.137961,0.000000,5.000000,-0.132011
4.780000,-1.139277,0.000000,5.000000,-0.131326
4.790000,-1.140587,0.000000,5.000000,-0.130692
4.800000,-1.141891,0.000000,5.000000,-0.130109
4.810000,-1.143189,0.000000,5.000000,-0.129577
4.820000,-1.144482,0.000000,5.000000,-0.129095
4.830000,-1.145771,0.000000,5.000000,-0.128661
4.840000,-1.147055,0.000000,5.000000,-0.128273
4.850000,-1.148336,0.000000,5.000000,-0.127930
4.860000,-1.149613,0.000000,5.000000,-0.127629
4.870000,-1.150888,0.000000,5.000000,-0.127369
4.880000,-1.152161,0.000000,5.000000,-0.127145
4.890000,-1.153431,0.000000,5.000000,-0.126957
4.900000,-1.154700,0.000000,5.000000,-0.126800
4.910000,-1.155967,0.000000,5.000000,-0.126673
4.920000,-1.157233,0.000000,5.000000,-0.126572
4.930000,-1.158498,0.000000,5.000000,-0.126494
4.940000,-1.159763,0.000000,5.000000,-0.126438
4.950000,-1.161027,0.000000,5.000000,-0.126399
4.960000,-1.162291,0.000000,5.000000,-0.126377
4.970000,-1.163555,0.000000,5.000000,-0.126367
4.980000,-1.164818,0.000000,5.000000,-0.126368
4.990000,-1.166082,0.000000,5.000000,-0.126378
5.000000,-1.167344,0.000000,3.000000,-0.124383
5.010000,-1.168480,0.000000,3.000000,-0.104886
5.020000,-1.169427,0.000000,3.000000,-0.086508
5.030000,-1.170196,0.000000,3.000000,-0.069319
5.040000,-1.170801,0.000000,3.000000,-0.053369
5.050000,-1.171252,0.000000,3.000000,-0.038691
5.060000,-1.171565,0.000000,3.000000,-0.025304
5.070000,-1.171750,0.000000,3.000000,-0.013211
5.080000,-1.171822,0.000000,3.000000,-0.002405
5.090000,-1.171792,0.000000,3.000000,0.007134
5.100000,-1.171674,0.000000,3.000000,0.015438
5.110000,-1.171480,0.000000,3.000000,0.022544
5.120000,-1.171221,0.000000,3.000000,0.028500
5.130000,-1.170908,0.000000,3.000000,0.033359
5.140000,-1.170553,0.000000,3.000000,0.037180
